LTE.ID,Site.ID,Code,Year.start,Year.end,Number of sites,Notes,Treatments,Version,DOI,Available in Saito,Latitude,Longitude
LTE0034,"Gimo..Nzewe, Tete..Ulongue, Tete",AN0066,2010,2014,2,NA,NA,2020,10.1016/j.agee.2016.02.009,NA,-15.95195,34.05146
LTE0035,Ginchi ARS,NN0192,1989,1997,1,NA,NA,2018,0,NA,9.0221,38.1806
LTE0010,"Githunguri, Kiambu",LM0265,1987,1994,26,NA,NA,2018,10.1017/s0014479797000203,NA,-1.06167,36.77761
LTE0037,"Grasslands Research Station, Marondera",DK0104,2006,2010,2,NA,NA,2020,10.1016/j.still.2013.01.008,NA,-18.17271,31.46448
LTE0036,"Grasslands RS, Marondera",HK0274,1983,1989,2,NA,NA,2018,10.1081/css-120002752,NA,-18.178,31.503
LTE0038,Grootfontein Agricultural Research Institute,LM0337,NA,NA,1,75 years grazing,NA,#N/A,#N/A,NA,#N/A,#N/A
LTE0161,Gum Selassa,DK0044,1971,2011,1,NA,"3 treatments : TER+,DER+ and CT",2020,10.1016/j.still.2014.11.009,NA,13.23333,39.53333
LTE0161,Gum Selassa,NJ0117,2005,2013,1,NA,"3 treatments : TER+,DER+ and CT",2020,10.1017/s001447971400060x,NA,13.23333,39.53333
LTE0039,"Hagere Selam, May Zegzeg",JS0248,2005,2010,1,NA,NA,2018,10.1016/j.fcr.2011.12.009,NA,13.65,39.16667
LTE0040,Hannanat,EO0069,NA,NA,2,6 years,NA,2020,10.1017/s1742170513000446,NA,33.92378,-6.84678
LTE0040,Hannanat..Jyahna,EO0069,NA,NA,2,7 years,NA,2020,10.1017/s1742170513000446,NA,33.94253,-6.82597
LTE0162,Haramaya University,NN0240,1988,1994,1,NA,1. Control  no residue nor NP fertilizer applied 2. Residue applied and no NP fertilizer 3. Residue applied and half the recommended NP fer-,NA,NA,NA,NA,NA
LTE0255,Haramaya University,JS0279,NA,NA,1,seven years,1. Control  no residue nor NP fertilizer applied 2. Residue applied and no NP fertilizer 3. Residue applied and half the recommended NP fer-,NA,NA,NA,NA,NA
LTE0163,Haramaya University,JS0260,1986,1990,1,NA,"1. flat bed control, 2. Open end tied ridge, on-ridge planting  3. Open end tied ridge, in-furrow planting  4. Closed end tied ridge, on-ridge planting  5. Closed end tied ridge, in-furrow planting",2018,10.1080/02571862.1998.10635130,NA,9.417,42.036
LTE0262,Haramaya University,JS0278,1986,1995,1,NA,"1. flat bed control, 2. Open end tied ridge, on-ridge planting  3. Open end tied ridge, in-furrow planting  4. Closed end tied ridge, on-ridge planting  5. Closed end tied ridge, in-furrow planting",2018,0,NA,9.417,42.036
LTE0023,Henderson RS,HK0255.2,2004,2011,4,Domboshawa is also part of the experiment but there started in 2009,"Conventional control (CPM), Conservation Agriculture (CAM),Conservation agriculture (CAM + 2YR), Conservation agriculture (CAM+3YR)",2018,10.1080/14735903.2012.703894,NA,-17.583,30.967
LTE0060,Henderson RS,HK0314,2004,2012,2,NA,NA,2020,10.1016/j.fcr.2012.08.017,NA,-17.583,30.967
LTE0109,Henderson RS,HK0313,2004,2010,3,NA,"comparing two CA options (animal traction ripping and direct seeding) with a conventionally tilled control plot using a mouldboard plough were established in Zimbabwe, one in the area around Chikato village in the Zimuto Communal Area (Chikato), Masvingo Province (19.85S",NA,NA,NA,NA,NA
LTE0153,Henderson RS,NJ0126,2004,2012,1,NA,(1) conventional mouldboard,NA,NA,NA,NA,NA
LTE0041,Henderson RS-Clay Site,NJ0067,2008,2014,4,NA,NA,2020,10.2135/cropsci2014.11.0796,NA,-17.583,30.967
LTE0041,Henderson RS-Sand Site,NJ0067,2008,2014,4,NA,NA,2020,10.2135/cropsci2014.11.0796,NA,-17.583,30.967
LTE0022,"Herbert, Balaka",HK0213.4,2006,2011,11,NA,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,10.1017/s0014479713000306,NA,-14.88,35.04
LTE0022,"Herbert, Balaka",HK0224,2006,2012,8,NA,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,10.1016/j.fcr.2012.11.010,NA,-14.88,35.04
LTE0017,Hereford,DK0006,2005,2015,2,NA,NA,2020,10.1017/S0021859616000095,NA,-17.42,31.44
LTE0109,Hereford,HK0313,2004,2010,2,NA,"comparing two CA options (animal traction ripping and direct seeding) with a conventionally tilled control plot using a mouldboard plough were established in Zimbabwe, one in the area around Chikato village in the Zimuto Communal Area (Chikato), Masvingo Province (19.85S",NA,NA,NA,NA,NA
LTE0042,"IAE, Harare",HK0268,1989,1998,2,NA,NA,2018,10.1016/j.still.2006.08.006,NA,-17.7031,31.1078
