Field.Name,Description,Source
MeanT,"The value that corresponds to the CSA treatment and outcome. Please standard yields to kg/ha where appropropriate, keeping as many decimal places as there is data for.",ERA (eragri::ERACompiledFields)
Upper,"The depth for which the MeanC and MeanT correspond for soil properties in cm (lowest depth value = upper, so if you have a depth of 0-20 cm the lowest value = 20).",ERA (eragri::ERACompiledFields)
Lower,"The depth for which the MeanC and MeanT correspond for soil properties in cm (highest depth value = lower, so if you have a depth of 0-20 cm the highest value = 0).",ERA (eragri::ERACompiledFields)
DataLoc,"The location in the paper where the data can be found. This should be three letters (fig, tab, or txt) in lowercase and a number (for figures and tables) to signify figure, table or text, respectively.",ERA (eragri::ERACompiledFields)
MeanFlip,"Is a negative result considered better than a positive result (i.e. MeanT/MeanC <1 = good)? This is indexed in using the Outcode field in the compednium and the """"Negative Values"""" field in the OUTCOMES tab",ERA (eragri::ERACompiledFields)
T.Feed.Source,Where were livestock diets in the treatment practice(s) sourced from?,ERA (eragri::ERACompiledFields)
C.Feed.Source,Where were livestock diets in the control practice(s) sourced from?,ERA (eragri::ERACompiledFields)
Species,The tree species for which the experiment outcome are reported,ERA (eragri::ERACompiledFields)
Partial.Outcome.Name,Free text to describe the partial outcome,ERA (eragri::ERACompiledFields)
Partial.Outcome.Code,ERA practice codes of the partial outcome named in Partial.Outcome.Name.,"LTEs repo (unofficial, please verify)"
MeanT.Error,Reported dispersion of MeanT; statistic type in Mean.Error.Type.,"LTEs repo (unofficial, please verify)"
Mean.Error.Type,"Type of dispersion statistic reported for MeanT.Error / MeanC.Error (e.g. SE, SD, CV).","LTEs repo (unofficial, please verify)"
MeanC.Error,Reported dispersion of MeanC; statistic type in Mean.Error.Type.,"LTEs repo (unofficial, please verify)"
Analysis.Function,Describes the logical process used to compare control to treatment (for developers),ERA (eragri package_field_dictionary 2026.2-rc.4)
Version,Year in which the ERA data entry took place. Either 2018 or 2020,ERA (eragri::ERACompiledFields)
Mulch.Code,ERA practice code of the mulch material when mulching is part of the treatment.,"LTEs repo (unofficial, please verify)"
Rep.Animals,Number of animals per replicate (livestock observations).,"LTEs repo (unofficial, please verify)"
Tree.Feed,Fodder tree used as feed (livestock observations).,"LTEs repo (unofficial, please verify)"
C13,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C14,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T13,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T14,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
Irrigation.C,Indicates the presence of irrigation in the control treatment,ERA (eragri::ERACompiledFields)
Irrigation.T,Indicates the presence of irrigation in the experimental treatment,ERA (eragri::ERACompiledFields)
Irrig.Meth.C,Method of irrigation used in the control treatment. Cell will be blank if Irrigation.C is FALSE,ERA (eragri::ERACompiledFields)
USD2010.C,"Monetary outcomes converted to International USD 2010 using World Bank CPI, PPP and exchange rates. There are no reliable data for Zimbabwe.",ERA (eragri::ERACompiledFields)
USD2010.T,"Monetary outcomes converted to International USD 2010 using World Bank CPI, PPP and exchange rates. There are no reliable data for Zimbabwe.",ERA (eragri::ERACompiledFields)
C1,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C2,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C3,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C4,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C5,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C6,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C7,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C8,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C9,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C10,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C11,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
C12,Codes corresponding to all practices used on the control treatment described in C.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T1,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T2,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T3,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T4,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T5,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T6,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T7,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T8,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T9,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
T10,Codes corresponding to all practices used on the CSA treatment described in T.Descrip. Only one code is placed in each column (see subpractices column of PRACTICES2 tab).,ERA (eragri package_field_dictionary 2026.2-rc.4)
